ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
CPV,2025-05-06,42912000,0.928,0.18,0.18,0.17,0.175,0.175,516273,0.2,0.28,0.6,0.175,284039.0,245205.0,292017.0
CPV,2025-05-07,42912000,0.928,0.185,0.185,0.17,0.175,0.175,277463,0.199,0.279,0.6,0.175,296698.0,246389.0,292592.0
CPV,2025-05-08,42912000,0.928,0.18,0.18,0.17,0.175,0.175,124081,0.198,0.278,0.6,0.175,275158.0,244955.0,290982.0
CPV,2025-05-09,42912000,0.928,0.175,0.18,0.175,0.18,0.18,263446,0.198,0.294,0.6,0.175,272869.0,247710.0,290091.0
CVL,2025-05-05,551752896,-0.006,0.9,0.935,0.855,0.855,0.855,148032,0.936,1.029,1.353,0.833,170623.0,169561.0,160201.0
CVL,2025-05-06,551752896,-0.006,0.895,0.9,0.87,0.88,0.88,310019,0.934,1.027,1.353,0.835,183531.0,170503.0,160428.0
CVL,2025-05-07,551752896,-0.006,0.885,0.92,0.87,0.9,0.9,461628,0.932,1.026,1.353,0.835,199880.0,174551.0,161655.0
CVL,2025-05-08,551752896,-0.006,0.92,0.925,0.9,0.905,0.905,268991,0.931,1.025,1.353,0.835,200828.0,177114.0,162668.0
CVL,2025-05-09,551752896,-0.006,0.9,0.985,0.9,0.985,0.985,321087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYG,2025-05-05,96625712,-0.055,0.925,0.95,0.925,0.95,0.95,35429,0.981,1.148,1.505,0.855,42118.8,48758.3,59984.0
CYG,2025-05-06,96625712,-0.055,0.93,0.93,0.925,0.925,0.925,317,0.979,1.145,1.505,0.855,42118.6,48744.6,58379.4
CYG,2025-05-07,96625712,-0.055,0.93,0.9325,0.925,0.9325,0.9325,172791,0.977,1.143,1.505,0.855,51284.1,52200.4,58985.0
CYG,2025-05-08,96625712,-0.055,0.92,0.92,0.87,0.92,0.92,9666,0.975,1.141,1.505,0.855,50492.5,51217.0,58993.0
CYG,2025-05-09,96625712,-0.055,0.92,0.94,0.89,0.9,0.9,32856,0.972,1.154,1.505,0.855,49325.7,51874.1,59004.0
DDB,2025-05-05,40085360,-0.089,0.28,0.28,0.28,0.28,0.28,0,0.274,0.258,0.29,0.16,1428.57,7529.96,246410.0
DDB,2025-05-06,40085360,-0.089,0.28,0.28,0.28,0.28,0.28,0,0.275,0.259,0.29,0.16,1428.57,7529.96,246410.0
DDB,2025-05-07,40085360,-0.089,0.28,0.28,0.28,0.28,0.28,0,0.275,0.259,0.29,0.16,1428.57,7529.96,246388.0
DDB,2025-05-08,40085360,-0.089,0.28,0.28,0.28,0.28,0.28,0,0.275,0.259,0.29,0.16,1428.57,7529.96,246388.0
DDB,2025-05-09,40085360,-0.089,0.28,0.28,0.28,0.28,0.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRO,2025-05-05,1377084032,0.819,1.36,1.38,1.32,1.32,1.32,7957834,1.019,0.928,2.6,0.59,13786400.0,13842400.0,13725200.0
DRO,2025-05-06,1377084032,0.819,1.32,1.345,1.3,1.305,1.305,4763508,1.03,0.932,2.6,0.59,13419500.0,13433500.0,13628800.0
